2026-08-26 18:50:19,154 | INFO | server-thread | Server is listening on http://127.0.0.1:51053
2026-08-26 18:50:20,156 | INFO | server-thread | Server stopped.
2026-08-26 18:50:20,159 | INFO | Thread-1 (_handle_client) | No more data received from ('127.0.0.1', 12345). Closing connection.
2026-08-26 18:50:20,364 | WARNING | MainThread | Recoverable accept error: [Errno 103] Simulated aborted connect. Continuing to accept new connections.
2026-08-26 18:50:20,366 | ERROR | MainThread | Fatal accept error: [Errno 9] Simulated bad file descriptor.
2026-08-26 18:50:20,367 | ERROR | MainThread | Failed to start server on :0: [Errno 98] Simulated address in use
2026-08-26 18:50:20,367 | INFO | MainThread | Server stopped.
2026-08-26 18:50:20,386 | ERROR | MainThread | Failed to start server thread: Simulated thread start failure 
2026-08-26 18:50:20,387 | ERROR | MainThread | Failed to start client thread for ('127.0.0.1', 12345): Simulated client thread start failure
2026-08-26 18:50:20,389 | ERROR | MainThread | Failed to start server on :0: Simulated startup failure
2026-08-26 18:50:44,719 | INFO | server-thread | Server is listening on http://127.0.0.1:51741
2026-08-26 18:50:45,721 | INFO | server-thread | Server stopped.
2026-08-26 18:50:45,725 | INFO | Thread-1 (_handle_client) | No more data received from ('127.0.0.1', 12345). Closing connection.
2026-08-26 18:50:45,933 | WARNING | MainThread | Recoverable accept error: [Errno 103] Simulated aborted connect. Continuing to accept new connections.
2026-08-26 18:50:45,936 | ERROR | MainThread | Fatal accept error: [Errno 9] Simulated bad file descriptor.
2026-08-26 18:50:45,938 | ERROR | MainThread | Failed to start server on :0: [Errno 98] Simulated address in use
2026-08-26 18:50:45,938 | INFO | MainThread | Server stopped.
2026-08-26 18:50:45,940 | ERROR | MainThread | Failed to start server thread: Simulated thread start failure 
2026-08-26 18:50:45,942 | ERROR | MainThread | Failed to start client thread for ('127.0.0.1', 12345): Simulated client thread start failure
2026-08-26 18:50:45,949 | ERROR | MainThread | Failed to start server on :0: Simulated startup failure
